round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.28214016556739807, 0.24169090390205383, 0.22010236978530884, 0.25606659054756165]","[-0.10063502192497253, 0.15912315249443054, 0.13631033897399902, 0.12413470447063446, 0.14441803097724915]","[-0.355288565158844, 0.5617789626121521, 0.48123908042907715, 0.43825340270996094, 0.509863018989563]","[-0.09943059086799622, 0.1586335301399231, 0.13590823113918304, 0.1245419830083847, 0.14386658370494843]","[-0.0012044345494359732, 0.000489629979711026, 0.00040211528539657593, -0.0004072853771504015, 0.0005514255608431995]",,,0.0,0,,6.347287654876709,6.468257904052734,"[-0.35528857, 0.56177896, 0.48123908, 0.4382534, 0.50986302]",0.7252571428571428,0.030965385214424435,0.0
2,"[0.0, 0.2822819650173187, 0.2317163199186325, 0.2283172458410263, 0.2576844394207001]","[-0.1371425986289978, 0.03711121156811714, -0.015395078808069229, 0.0668276771903038, 0.04064138978719711]","[-0.3738389015197754, 0.5202350616455078, 0.42704445123672485, 0.42078009247779846, 0.4749027490615845]","[-0.13981476426124573, 0.03785327821969986, -0.016643017530441284, 0.06778742372989655, 0.0400552824139595]","[0.0026721786707639694, -0.0007420591427944601, 0.0012479423312470317, -0.0009597493335604668, 0.0005861193058080971]",,,0.0,0,,6.15925407409668,6.332277774810791,"[-0.54079199, 0.14634, -0.06070714, 0.26352042, 0.16026048]",0.7046857142857144,0.018995494292246673,0.0
3,"[0.0, 0.2709265947341919, 0.2218102514743805, 0.24778546392917633, 0.2594776451587677]","[0.10145481675863266, -0.032831914722919464, -0.029439713805913925, 0.0953967273235321, 0.021780529990792274]","[-0.29640084505081177, 0.455249547958374, 0.3727172613143921, 0.41636452078819275, 0.4360113739967346]","[0.10371418297290802, -0.033626530319452286, -0.03009655699133873, 0.09579682350158691, 0.022298205643892288]","[-0.00225936621427536, 0.0007946320110931993, 0.0006568426615558565, -0.0004000971675850451, -0.000517676817253232]",,,0.0,0,,6.040854454040527,6.275622367858887,"[0.40054166, -0.12961976, -0.11622742, 0.37662444, 0.08598911]",0.6831999999999999,0.007887681497356192,0.0
4,"[0.0, 0.2680000066757202, 0.21857166290283203, 0.26421675086021423, 0.24921154975891113]","[-0.08135253190994263, 0.026740670204162598, 0.018354833126068115, 0.1046934723854065, -0.0057281674817204475]","[-0.2971005439758301, 0.4196973145008087, 0.34229081869125366, 0.4137726426124573, 0.39027395844459534]","[-0.08183421939611435, 0.026883751153945923, 0.018524322658777237, 0.1047789677977562, -0.005845196545124054]","[0.00048168428475037217, -0.0001430616684956476, -0.0001694940001470968, -8.550327038392425e-05, 0.00011703918426064774]",,,0.0,0,,6.023584842681885,6.228820323944092,"[-0.30339777, 0.09972719, 0.06845289, 0.39044595, -0.02136274]",0.7002666666666668,0.01991043843738216,0.0
5,"[0.0, 0.26387742161750793, 0.21294736862182617, 0.27476412057876587, 0.24841110408306122]","[-0.1594446450471878, 0.007336076814681292, -0.003982912749052048, 0.07160810381174088, 0.020184842869639397]","[-0.3195239305496216, 0.3801262378692627, 0.30675941705703735, 0.39580899477005005, 0.35784637928009033]","[-0.1613491177558899, 0.0078111737966537476, -0.00411323644220829, 0.07185777276754379, 0.02000344730913639]","[0.0019044725922867656, -0.00047510844888165593, 0.00013032794231548905, -0.0002496648521628231, 0.00018138476298190653]",,,0.0,0,,6.00682258605957,6.251297950744629,"[-0.52133447, 0.02398669, -0.01302289, 0.23413625, 0.06599817]",0.6793904761904762,0.03475039384877787,0.0
6,"[0.0, 0.25389623641967773, 0.19779843091964722, 0.29400351643562317, 0.25430187582969666]","[-0.1028394103050232, -0.042268406599760056, -0.05797363445162773, 0.055664919316768646, 0.01163114607334137]","[-0.3268238604068756, 0.32598036527633667, 0.25395575165748596, 0.3774745762348175, 0.32650119066238403]","[-0.10534463077783585, -0.04290616884827614, -0.05860104039311409, 0.05578543618321419, 0.012298730202019215]","[0.0025052260607481003, 0.0006377589306794107, 0.0006274163024500012, -0.00012048664939356968, -0.0006675926852039993]",,,0.0,0,,5.997162818908691,6.209666728973389,"[-0.39252335, -0.16133247, -0.22127709, 0.21246506, 0.04439443]",0.6310095238095239,0.019025830514775577,0.0
7,"[0.0, 0.24515239894390106, 0.18888282775878906, 0.3102811574935913, 0.25568366050720215]","[-0.22096464037895203, 0.07781502604484558, 0.045575808733701706, 0.27894437313079834, 0.15045934915542603]","[-0.3328312635421753, 0.3070073425769806, 0.23654025793075562, 0.3885688781738281, 0.3201957643032074]","[-0.22238734364509583, 0.07813138514757156, 0.04594572260975838, 0.27938470244407654, 0.15084576606750488]","[0.0014226988423615694, -0.0003163356159348041, -0.00036993142566643655, -0.00044029345735907555, -0.0003864267491735518]",,,0.0,0,,6.023247718811035,6.217824459075928,"[-0.38689801, 0.13625021, 0.07980096, 0.4884176, 0.26344678]",0.6952380952380953,0.06691893203516541,0.0
8,"[0.0, 0.23901738226413727, 0.17953692376613617, 0.32387691736221313, 0.2575687766075134]","[-0.1136552020907402, -0.01264845672994852, -0.025209419429302216, 0.055504996329545975, 0.014541256241500378]","[-0.3381817638874054, 0.27200713753700256, 0.20431704819202423, 0.3685792088508606, 0.29311904311180115]","[-0.11613322794437408, -0.012675588950514793, -0.02584998868405819, 0.05617315322160721, 0.014294039458036423]","[0.0024780184030532837, 2.7137355573358946e-05, 0.0006405685562640429, -0.000668126973323524, 0.000247215386480093]",,,0.0,0,,5.994444847106934,6.262887001037598,"[-0.38633636, -0.04299459, -0.08569176, 0.18867238, 0.04942859]",0.6344380952380952,0.049987637813432184,0.0
9,"[0.0, 0.23169392347335815, 0.16145461797714233, 0.34761783480644226, 0.25923359394073486]","[-0.1502092331647873, -0.014524021185934544, -0.07043452560901642, 0.1395932137966156, 0.029563486576080322]","[-0.33747026324272156, 0.2416052669286728, 0.16836129128932953, 0.36248815059661865, 0.2703230381011963]","[-0.1524677574634552, -0.013574969954788685, -0.07035836577415466, 0.1390293389558792, 0.02982613444328308]","[0.0022585196420550346, -0.0009490404627285898, -7.615553477080539e-05, 0.0005638552247546613, -0.0002626637869980186]",,,0.0,0,,5.9997334480285645,6.249084949493408,"[-0.33106694, -0.0320115, -0.1552404, 0.30766881, 0.06515906]",0.6805333333333333,0.06956826080073986,0.0
10,"[0.0, 0.23437538743019104, 0.1497759222984314, 0.36981046199798584, 0.24603824317455292]","[-0.19343753159046173, 0.008319987915456295, -0.05012727156281471, 0.08748913556337357, -0.05754855275154114]","[-0.3475736677646637, 0.2193308025598526, 0.14016178250312805, 0.3460722863674164, 0.23024500906467438]","[-0.1970578134059906, 0.009258965030312538, -0.05083269625902176, 0.08823149651288986, -0.057455580681562424]","[0.0036202699411660433, -0.0009389643673785031, 0.0007054191082715988, -0.0007423645001836121, -9.29731540963985e-05]",,,0.0,0,,6.039427757263184,6.288458824157715,"[-0.43850464, 0.01886063, -0.1136338, 0.19832961, -0.13045715]",0.6329142857142857,0.091585128350688,0.0
